gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,IND,90,leisure,0,0
m,single,y,IND,90,bonding,0,0
m,single,y,IND,90,achievement,0,0
m,single,y,IND,90,enjoy_the_moment,0,0
m,single,y,IND,90,exercise,0,0
m,single,y,IND,90,nature,0,0
m,single,y,CAN,0,affection,0,0
m,single,y,CAN,0,leisure,0,0
m,single,y,CAN,0,bonding,0,0
m,single,y,CAN,0,achievement,0,0
m,single,y,CAN,0,enjoy_the_moment,0,0
m,single,y,CAN,0,exercise,0,0
m,single,y,CAN,0,nature,0,0
m,single,y,CAN,10,affection,0,0
m,single,y,CAN,10,leisure,0,0
m,single,y,CAN,10,bonding,0,0
m,single,y,CAN,10,achievement,0,0
m,single,y,CAN,10,enjoy_the_moment,0,0
m,single,y,CAN,10,exercise,0,0
m,single,y,CAN,10,nature,0,0
m,single,y,CAN,20,affection,0,0
m,single,y,CAN,20,leisure,0,0
m,single,y,CAN,20,bonding,0,0
m,single,y,CAN,20,achievement,0,0
m,single,y,CAN,20,enjoy_the_moment,0,0
m,single,y,CAN,20,exercise,0,0
m,single,y,CAN,20,nature,0,0
m,single,y,CAN,30,affection,3,0.0
m,single,y,CAN,30,leisure,3,0.0
m,single,y,CAN,30,bonding,3,33.33
m,single,y,CAN,30,achievement,3,0.0
m,single,y,CAN,30,enjoy_the_moment,3,33.33
m,single,y,CAN,30,exercise,3,0.0
m,single,y,CAN,30,nature,3,33.33
m,single,y,CAN,40,affection,0,0
m,single,y,CAN,40,leisure,0,0
m,single,y,CAN,40,bonding,0,0
m,single,y,CAN,40,achievement,0,0
m,single,y,CAN,40,enjoy_the_moment,0,0
m,single,y,CAN,40,exercise,0,0
m,single,y,CAN,40,nature,0,0
m,single,y,CAN,50,affection,0,0
m,single,y,CAN,50,leisure,0,0
m,single,y,CAN,50,bonding,0,0
m,single,y,CAN,50,achievement,0,0
m,single,y,CAN,50,enjoy_the_moment,0,0
m,single,y,CAN,50,exercise,0,0
m,single,y,CAN,50,nature,0,0
m,single,y,CAN,60,affection,0,0
m,single,y,CAN,60,leisure,0,0
m,single,y,CAN,60,bonding,0,0
m,single,y,CAN,60,achievement,0,0
m,single,y,CAN,60,enjoy_the_moment,0,0
m,single,y,CAN,60,exercise,0,0
m,single,y,CAN,60,nature,0,0
m,single,y,CAN,70,affection,0,0
m,single,y,CAN,70,leisure,0,0
m,single,y,CAN,70,bonding,0,0
m,single,y,CAN,70,achievement,0,0
m,single,y,CAN,70,enjoy_the_moment,0,0
m,single,y,CAN,70,exercise,0,0
m,single,y,CAN,70,nature,0,0
m,single,y,CAN,80,affection,0,0
m,single,y,CAN,80,leisure,0,0
m,single,y,CAN,80,bonding,0,0
m,single,y,CAN,80,achievement,0,0
m,single,y,CAN,80,enjoy_the_moment,0,0
m,single,y,CAN,80,exercise,0,0
m,single,y,CAN,80,nature,0,0
m,single,y,CAN,90,affection,0,0
m,single,y,CAN,90,leisure,0,0
m,single,y,CAN,90,bonding,0,0
m,single,y,CAN,90,achievement,0,0
m,single,y,CAN,90,enjoy_the_moment,0,0
m,single,y,CAN,90,exercise,0,0
m,single,y,CAN,90,nature,0,0
